config,em_mean,f1_mean,sf_em,sf_f1
Full Antahkarana,0.31,0.5044,0.0,0.0
w/o Routing,0.0,0.1524,0.0,0.0
w/o Pramana,0.31,0.5044,0.0,0.0
w/o Samsaya,0.31,0.5044,0.0,0.0
w/o Evidence,0.21,0.3738,0.0,0.0
