config,em_mean,f1_mean,sf_em,sf_f1
Full Antahkarana,0.5,0.6475,0.0,0.0
w/o Routing,0.41,0.583,0.0,0.0
w/o Pramana,0.49,0.6375,0.0,0.0
w/o Samsaya,0.49,0.6375,0.0,0.0
w/o Evidence,0.34,0.4798,0.0,0.0
